Id,Designator,Package,Quantity,Designation,Digikey PN,Price,Extended Price,Passives,IC,Etc,Screen,PCB
1,BT1,CR2016sm-F2N,1,CR2016,P222-ND,$1.14,$1.14,,,$1.14,,
17,BT2,CR2032sm,1,CR2016,BAT-HLD-002-SMT-ND,$0.28,$0.28,,,$0.28,,
8,C1 C2,C_0805_HandSoldering,2,0.1u,311-1361-1-ND,$0.10,$0.20,$0.20,,,,
18,C20 C22,C_0805_HandSoldering,2,10u,1276-2403-1-ND,$0.19,$0.38,$0.38,,,,
3,C21 C3 C4 C5 C6 C7 C8 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19,C_0805_HandSoldering,17,2.2u,445-13270-1-ND,$0.18,$3.06,$3.06,,,,
9,C9,C_0805_HandSoldering,1,1u,445-13262-1-ND,$0.26,$0.26,$0.26,,,,
10,D1,SOT-323,1,BAT54SW,568-1615-1-ND,$0.21,$0.21,,$0.21,,,
4,D2,C_0805_HandSoldering,1,LED,492-1272-1-ND,$1.05,$1.05,$1.05,,,,
22,EPD,DISPLAY,1,DISPLAY,E1200CS021-ND,$15.00,$15.00,,,,$15.00,
19,L1,Inductor_1212,1,4.7uH,490-5346-1-ND,$0.43,$0.43,$0.43,,,,
16,P2,A120699CT,1,A120699CT,732-6012-1-ND,$2.24,$2.24,,,$2.24,,
11,Q1 Q5 Q6 Q7,SOT-323,4,2N7002KW,2N7002KWCT-ND,$0.38,$1.52,,$1.52,,,
12,Q2 Q3 Q4,SOT-323,3,BSS84W,BSS84W-FDICT-ND,$0.39,$1.17,,$1.17,,,
13,R3 R4 R5,R_0805_HandSoldering,3,100k,RR12P100KDCT-ND,$0.10,$0.30,$0.30,,,,
14,R6,R_0805_HandSoldering,1,2k,311-2.00KCRCT-ND,$0.10,$0.10,$0.10,,,,
5,R7,R_0805_HandSoldering,1,470,RMCF0805JT470RCT-ND,$0.10,$0.10,$0.10,,,,
6,R8 R1 R2,R_0805_HandSoldering,3,33k,541-33KACT-ND,$0.10,$0.30,$0.30,,,,
7,SW1,SW_SPST_EVPBF,1,SW_PUSH,CKN10361CT-ND,$0.49,$0.49,,,$0.49,,
2,U1,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,MSP430G2553IPW20R,296-28430-1-ND,$2.46,$2.46,,$2.46,,,
21,U2,SOT-23-6,1,TLV61225,296-36756-1-ND,$0.87,$0.87,,$0.87,,,
,,,,,,,,Passives,IC,Connectors,Screen,PCB
,,,,,,Total,$31.56,$6.18,$6.23,$4.15,$15.00,$1.28
